,Rk,Player,School,Class,Pos,1st,2nd,3rd,Tot,Summary,Year
50,10,Donnel Pumphrey,San Diego State,SR,RB,4,12,31,67,349 Att 2133 Yds 6.1 Avg 17 TD,2016
51,1,Derrick Henry,Alabama,JR,RB,378,277,144,1832,395 Att 2219 Yds 5.6 Avg 28 TD,2015
52,2,Christian McCaffrey,Stanford,SO,RB,290,246,177,1539,337 Att 2019 Yds 6.0 Avg 8 TD,2015
53,3,Deshaun Watson,Clemson,SO,QB,148,240,241,1165,333 Cmp 491 Att 4109 Yds 35 TD 13 Int,2015
54,4,Baker Mayfield,Oklahoma,JR,QB,34,55,122,334,269 Cmp 395 Att 3700 Yds 36 TD 7 Int,2015
55,5,Keenan Reynolds,Navy,SR,QB,20,17,86,180,61 Cmp 115 Att 1203 Yds 8 TD 1 Int,2015
56,6,Leonard Fournette,LSU,SO,RB,10,25,30,110,300 Att 1953 Yds 6.5 Avg 22 TD,2015
57,7,Dalvin Cook,Florida State,SO,RB,7,18,22,79,229 Att 1691 Yds 7.4 Avg 19 TD,2015
58,8,Ezekiel Elliott,Ohio State,JR,RB,5,7,28,57,289 Att 1821 Yds 6.3 Avg 23 TD,2015
59,9,Connor Cook,Michigan State,SR,QB,2,3,1,13,229 Cmp 408 Att 3131 Yds 24 TD 7 Int,2015
60,10,Trevone Boykin,TCU,SR,QB,1,3,4,13,256 Cmp 395 Att 3574 Yds 31 TD 10 Int,2015
61,1,Marcus Mariota,Oregon,JR,QB,788,74,22,2534,304 Cmp 445 Att 4454 Yds 42 TD 4 Int,2014
62,2,Melvin Gordon,Wisconsin,JR,RB,37,432,275,1250,343 Att 2587 Yds 7.5 Avg 29 TD,2014
63,3,Amari Cooper,Alabama,JR,WR,49,280,316,1023,124 Rec 1727 Yds 13.9 Avg 16 TD,2014
64,4,Trevone Boykin,TCU,JR,QB,7,45,104,218,301 Cmp 492 Att 3901 Yds 33 TD 10 Int,2014
65,5,J.T. Barrett,Ohio State,FR,QB,0,19,40,78,203 Cmp 314 Att 2834 Yds 34 TD 10 Int,2014
66,6,Jameis Winston,Florida State,SO,QB,4,10,19,51,305 Cmp 467 Att 3907 Yds 25 TD 18 Int,2014
67,7,Tevin Coleman,Indiana,JR,RB,2,8,22,44,270 Att 2036 Yds 7.5 Avg 15 TD,2014
68,8,Dak Prescott,Mississippi State,JR,QB,2,4,13,21,244 Cmp 396 Att 3449 Yds 27 TD 11 Int,2014
69,9,Scooby Wright,Arizona,SO,LB,0,4,13,21,100 Solo 64 Ast 15.0 Sk 0 Int,2014
70,10,Bryce Petty,Baylor,SR,QB,1,3,4,13,270 Cmp 428 Att 3855 Yds 29 TD 7 Int,2014
71,1,Jameis Winston,Florida State,FR,QB,668,84,33,2205,257 Cmp 384 Att 4057 Yds 40 TD 10 Int,2013
72,2,A.J. McCarron,Alabama,SR,QB,79,162,143,704,226 Cmp 336 Att 3063 Yds 28 TD 7 Int,2013
73,3,Jordan Lynch,Northern Illinois,SR,QB,40,149,140,558,253 Cmp 404 Att 2892 Yds 24 TD 8 Int,2013
74,4,Andre Williams,Boston College,SR,RB,29,127,129,470,355 Att 2177 Yds 6.1 Avg 18 TD,2013
75,5,Johnny Manziel,Texas A&M,SO,QB,30,103,125,421,300 Cmp 429 Att 4114 Yds 37 TD 13 Int,2013
76,6,Tre Mason,Auburn,JR,RB,31,121,69,404,317 Att 1816 Yds 5.7 Avg 23 TD,2013
77,7,Bryce Petty,Baylor,JR,QB,4,40,35,127,250 Cmp 403 Att 4200 Yds 32 TD 3 Int,2013
78,8,Derek Carr,Fresno State,SR,QB,6,23,43,107,454 Cmp 659 Att 5083 Yds 50 TD 8 Int,2013
79,9,Braxton Miller,Ohio State,JR,QB,4,21,37,91,162 Cmp 255 Att 2094 Yds 24 TD 7 Int,2013
80,10,Ka'Deem Carey,Arizona,JR,RB,2,14,36,70,349 Att 1885 Yds 5.4 Avg 19 TD,2013
81,1,Johnny Manziel,Texas A&M,FR,QB,474,252,103,2029,295 Cmp 434 Att 3706 Yds 26 TD 9 Int,2012
82,2,Manti Te'o,Notre Dame,SR,LB,321,309,126,1706,55 Solo 58 Ast 1.5 Sk 7 Int,2012
83,3,Collin Klein,Kansas State,SR,QB,60,197,320,894,197 Cmp 304 Att 2641 Yds 16 TD 9 Int,2012
84,4,Marqise Lee,USC,SO,WR,19,33,84,207,118 Rec 1721 Yds 14.6 Avg 14 TD,2012
85,5,Braxton Miller,Ohio State,SO,QB,3,29,77,144,148 Cmp 254 Att 2039 Yds 15 TD 6 Int,2012
86,6,Jadeveon Clowney,South Carolina,SO,DL,4,13,23,61,40 Solo 14 Ast 13.0 Sk,2012
87,7,Jordan Lynch,Northern Illinois,JR,QB,3,8,27,52,237 Cmp 394 Att 3138 Yds 25 TD 6 Int,2012
88,8,Tavon Austin,West Virginia,SR,WR,6,4,21,47,114 Rec 1289 Yds 11.3 Avg 12 TD,2012
89,9,Kenjon Barner,Oregon,SR,RB,1,12,15,42,278 Att 1767 Yds 6.4 Avg 21 TD,2012
90,10,Jarvis Jones,Georgia,JR,LB,1,10,18,41,52 Solo 33 Ast 14.5 Sk 1 Int,2012
91,1,Robert Griffin III,Baylor,JR,QB,405,168,136,1687,291 Cmp 402 Att 4293 Yds 37 TD 6 Int,2011
92,2,Andrew Luck,Stanford,JR,QB,247,250,166,1407,288 Cmp 404 Att 3517 Yds 37 TD 10 Int,2011
93,3,Trent Richardson,Alabama,JR,RB,138,207,150,978,283 Att 1679 Yds 5.9 Avg 21 TD,2011
94,4,Montee Ball,Wisconsin,JR,RB,22,83,116,348,307 Att 1923 Yds 6.3 Avg 33 TD,2011
95,5,Tyrann Mathieu,LSU,SO,DB,34,63,99,327,59 Solo 17 Ast 1.5 Sk 2 Int,2011
96,6,Matt Barkley,USC,JR,QB,11,33,54,153,308 Cmp 446 Att 3528 Yds 39 TD 7 Int,2011
97,7,Case Keenum,Houston,SR,QB,10,20,53,123,428 Cmp 603 Att 5631 Yds 48 TD 5 Int,2011
98,8,Kellen Moore,Boise State,SR,QB,6,21,30,90,326 Cmp 439 Att 3800 Yds 43 TD 9 Int,2011
99,9,Russell Wilson,Wisconsin,SR,QB,4,12,15,52,225 Cmp 309 Att 3175 Yds 33 TD 4 Int,2011
100,10,LaMichael James,Oregon,JR,RB,5,12,9,48,247 Att 1805 Yds 7.3 Avg 18 TD,2011
101,1,Cam Newton,Auburn,JR,QB,729,24,28,2263,185 Cmp 280 Att 2854 Yds 30 TD 7 Int,2010
102,2,Andrew Luck,Stanford,SO,QB,78,309,227,1079,263 Cmp 372 Att 3338 Yds 32 TD 8 Int,2010
103,3,LaMichael James,Oregon,SO,RB,22,313,224,916,294 Att 1731 Yds 5.9 Avg 21 TD,2010
104,4,Kellen Moore,Boise State,JR,QB,40,165,185,635,273 Cmp 383 Att 3845 Yds 35 TD 6 Int,2010
105,5,Justin Blackmon,Oklahoma State,SO,WR,1,23,56,105,111 Rec 1782 Yds 16.1 Avg 20 TD,2010
106,6,Denard Robinson,Michigan,SO,QB,6,16,34,84,182 Cmp 291 Att 2570 Yds 18 TD 11 Int,2010
107,7,Ryan Mallett,Arkansas,JR,QB,0,11,19,41,266 Cmp 411 Att 3869 Yds 32 TD 12 Int,2010
108,8,Colin Kaepernick,Nevada,SR,QB,0,7,17,31,233 Cmp 359 Att 3022 Yds 21 TD 8 Int,2010
